Entity,Code,Year,ppp_dollars_per_capita__financing_scheme_total
Argentina,ARG,2004,1487.531
Argentina,ARG,2005,1676.481
Argentina,ARG,2006,1817.406
Argentina,ARG,2007,2018.376
Argentina,ARG,2008,2196.941
Argentina,ARG,2009,2348.035
Argentina,ARG,2010,2543.665
Argentina,ARG,2011,2709.686
Argentina,ARG,2012,2779.896
Argentina,ARG,2013,2802.881
Argentina,ARG,2014,2667.006
Argentina,ARG,2015,2849.732
Argentina,ARG,2016,2719.332
Argentina,ARG,2017,2882.928
Argentina,ARG,2018,2780.539
Argentina,ARG,2019,2625.546
Argentina,ARG,2020,2478.095
Argentina,ARG,2021,2907.012
Argentina,ARG,2022,2893.392
Argentina,ARG,2023,2850.186
Australia,AUS,1971,1067.417
Australia,AUS,1972,1097.049
Australia,AUS,1973,1152.993
Australia,AUS,1974,1280.352
Australia,AUS,1975,1441.838
Australia,AUS,1976,1481.367
Australia,AUS,1977,1541.802
Australia,AUS,1978,1548.873
Australia,AUS,1979,1550.157
Australia,AUS,1980,1575.14
Australia,AUS,1981,1629.963
Australia,AUS,1982,1628.903
Australia,AUS,1983,1677.804
Australia,AUS,1984,1713.645
Australia,AUS,1985,1760.056
Australia,AUS,1986,1820.644
Australia,AUS,1987,1857.86
Australia,AUS,1988,1931.024
Australia,AUS,1989,1974.337
Australia,AUS,1990,2009.444
Australia,AUS,1991,2056.857
Australia,AUS,1992,2117.668
Australia,AUS,1993,2173.138
Australia,AUS,1994,2255.329
Australia,AUS,1995,2333.961
Australia,AUS,1996,2440.31
Australia,AUS,1997,2526.125
Australia,AUS,1998,2660.918
Australia,AUS,1999,2785.538
Australia,AUS,2000,2917.471
Australia,AUS,2001,3039.122
Australia,AUS,2002,3180.573
Australia,AUS,2003,3332.624
Australia,AUS,2004,3548.175
Australia,AUS,2005,3612.7
Australia,AUS,2006,3749.335
Australia,AUS,2007,3895.468
Australia,AUS,2008,4052.738
Australia,AUS,2009,4138.789
Australia,AUS,2010,4271.338
Australia,AUS,2011,4409.157
Australia,AUS,2012,4408.33
Australia,AUS,2013,4455.309
Australia,AUS,2014,4945.727
Australia,AUS,2015,5075.413
Australia,AUS,2016,5225.767
Australia,AUS,2017,5321.048
Australia,AUS,2018,5426.781
Australia,AUS,2019,5435.483
Australia,AUS,2020,5819.048
Australia,AUS,2021,6188.72
Australia,AUS,2022,5964.79
Australia,AUS,2023,5778.4
Australia,AUS,2024,5991.2
Austria,AUT,1970,1144.039
Austria,AUT,1971,1193.936
Austria,AUT,1972,1272.728
Austria,AUT,1973,1371.848
Austria,AUT,1974,1483.454
Austria,AUT,1975,1870.952
Austria,AUT,1976,2012.929
Austria,AUT,1977,2090.557
Austria,AUT,1978,2196.283
Austria,AUT,1979,2307.802
Austria,AUT,1980,2372.723
Austria,AUT,1981,2020.113
Austria,AUT,1982,2040.859
Austria,AUT,1983,2047.492
Austria,AUT,1984,2060.584
Austria,AUT,1985,2141.114
Austria,AUT,1986,2246.75
Austria,AUT,1987,2404.559
Austria,AUT,1988,2477.08
Austria,AUT,1989,2623.84
Austria,AUT,1990,3201.72
Austria,AUT,1991,3311.613
Austria,AUT,1992,3468.752
Austria,AUT,1993,3667.453
Austria,AUT,1994,3917.032
Austria,AUT,1995,4067.284
Austria,AUT,1996,4134.865
Austria,AUT,1997,4211.418
Austria,AUT,1998,4445.203
Austria,AUT,1999,4664.008
Austria,AUT,2000,4718.938
Austria,AUT,2001,4776.365
Austria,AUT,2002,4895.074
Austria,AUT,2003,4967.35
Austria,AUT,2004,5123.73
Austria,AUT,2005,5168.261
Austria,AUT,2006,5267.292
Austria,AUT,2007,5419.719
Austria,AUT,2008,5598.187
Austria,AUT,2009,5704.378
Austria,AUT,2010,5745.795
Austria,AUT,2011,5730.372
Austria,AUT,2012,5816.577
Austria,AUT,2013,5813.279
Austria,AUT,2014,5877.155
Austria,AUT,2015,5925.348
Austria,AUT,2016,6002.761
Austria,AUT,2017,6074.392
Austria,AUT,2018,6137.151
Austria,AUT,2019,6258.114
Austria,AUT,2020,6295.183
Austria,AUT,2021,7008.799
Austria,AUT,2022,6588.493
Austria,AUT,2023,6360.593
Austria,AUT,2024,6587.774
Belgium,BEL,1970,1022.093
Belgium,BEL,1971,1077.305
Belgium,BEL,1972,1173.657
Belgium,BEL,1973,1340.695
Belgium,BEL,1974,1396.515
Belgium,BEL,1975,1678.753
Belgium,BEL,1976,1824.782
Belgium,BEL,1977,1986.896
Belgium,BEL,1978,2094.585
Belgium,BEL,1979,2154.077
Belgium,BEL,1980,2047.947
Belgium,BEL,1981,2121.183
Belgium,BEL,1982,2226.742
Belgium,BEL,1983,2263.887
Belgium,BEL,1984,2253.881
Belgium,BEL,1985,2316.252
Belgium,BEL,1986,2472.047
Belgium,BEL,1987,2558.659
Belgium,BEL,1988,2713.452
Belgium,BEL,1989,2813.131
Belgium,BEL,1990,2912.434
Belgium,BEL,1991,3073.388
Belgium,BEL,1992,3211.239
Belgium,BEL,1993,3251.719
Belgium,BEL,1994,3261.319
Belgium,BEL,1995,3290.081
Belgium,BEL,1996,3437.734
Belgium,BEL,1997,3483.27
Belgium,BEL,1998,3615.121
Belgium,BEL,1999,3797.244
Belgium,BEL,2000,3898.011
Belgium,BEL,2001,3987.254
Belgium,BEL,2002,4125.222
Belgium,BEL,2003,4584.226
Belgium,BEL,2004,4790.613
Belgium,BEL,2005,4781.754
Belgium,BEL,2006,4781.556
Belgium,BEL,2007,4890.794
Belgium,BEL,2008,5036.837
Belgium,BEL,2009,5404.678
Belgium,BEL,2010,5417.472
Belgium,BEL,2011,5407.163
Belgium,BEL,2012,5470.976
Belgium,BEL,2013,5506.451
Belgium,BEL,2014,5574.688
Belgium,BEL,2015,5789.392
Belgium,BEL,2016,5856.383
Belgium,BEL,2017,5938.933
Belgium,BEL,2018,6021.828
Belgium,BEL,2019,6082.866
Belgium,BEL,2020,6096.546
Belgium,BEL,2021,6348.495
Belgium,BEL,2022,6114.154
Belgium,BEL,2023,6122.588
Belgium,BEL,2024,6280.1
Brazil,BRA,2000,1082.846
Brazil,BRA,2001,1107.184
Brazil,BRA,2002,1157.063
Brazil,BRA,2003,1086.339
Brazil,BRA,2004,1138.422
Brazil,BRA,2005,1145.37
Brazil,BRA,2006,1218.298
Brazil,BRA,2007,1278.99
Brazil,BRA,2008,1307.279
Brazil,BRA,2009,1358.86
Brazil,BRA,2010,1385.93
Brazil,BRA,2011,1408.424
Brazil,BRA,2012,1413.623
Brazil,BRA,2013,1476.506
Brazil,BRA,2014,1541.713
Brazil,BRA,2015,1545.663
Brazil,BRA,2016,1516.133
Brazil,BRA,2017,1574.586
Brazil,BRA,2018,1594.538
Brazil,BRA,2019,1625.225
Brazil,BRA,2020,1578.256
Brazil,BRA,2021,1688.036
Brazil,BRA,2022,1660.701
Bulgaria,BGR,2003,884.415
Bulgaria,BGR,2004,926.344
Bulgaria,BGR,2005,993.605
Bulgaria,BGR,2006,1051.808
Bulgaria,BGR,2007,1092.514
Bulgaria,BGR,2008,1202.305
Bulgaria,BGR,2009,1260.529
Bulgaria,BGR,2010,1365
Bulgaria,BGR,2011,1439.52
Bulgaria,BGR,2012,1519.749
Bulgaria,BGR,2013,1472.01
Bulgaria,BGR,2014,1612.488
Bulgaria,BGR,2015,1639.297
Bulgaria,BGR,2016,1755.087
Bulgaria,BGR,2017,1844.784
Bulgaria,BGR,2018,1901.821
Bulgaria,BGR,2019,1986.2
Bulgaria,BGR,2020,2391.507
Bulgaria,BGR,2021,2637.978
Bulgaria,BGR,2022,2483.385
Bulgaria,BGR,2023,2611.926
Canada,CAN,1970,1444.382
Canada,CAN,1971,1583.901
Canada,CAN,1972,1648.335
Canada,CAN,1973,1694.744
Canada,CAN,1974,1763.694
Canada,CAN,1975,1887.969
Canada,CAN,1976,1993.86
Canada,CAN,1977,2001.014
Canada,CAN,1978,2013.917
Canada,CAN,1979,2049.255
Canada,CAN,1980,2117.487
Canada,CAN,1981,2205.102
Canada,CAN,1982,2313.299
Canada,CAN,1983,2376.458
Canada,CAN,1984,2432.641
Canada,CAN,1985,2509.945
Canada,CAN,1986,2588.422
Canada,CAN,1987,2661.151
Canada,CAN,1988,2759.072
Canada,CAN,1989,2855.759
Canada,CAN,1990,2941.633
Canada,CAN,1991,3020.438
Canada,CAN,1992,3089.529
Canada,CAN,1993,3067.023
Canada,CAN,1994,3052.665
Canada,CAN,1995,3023.914
Canada,CAN,1996,2982.192
Canada,CAN,1997,3065.144
Canada,CAN,1998,3194.554
Canada,CAN,1999,3252.492
Canada,CAN,2000,3402.299
Canada,CAN,2001,3566.285
Canada,CAN,2002,3692.159
Canada,CAN,2003,3837.345
Canada,CAN,2004,4006.356
Canada,CAN,2005,4122.513
Canada,CAN,2006,4358.913
Canada,CAN,2007,4514.405
Canada,CAN,2008,4673.809
Canada,CAN,2009,4845.399
Canada,CAN,2010,5011.498
Canada,CAN,2011,5013.978
Canada,CAN,2012,5101.292
Canada,CAN,2013,5109.15
Canada,CAN,2014,5124.869
Canada,CAN,2015,5253.683
Canada,CAN,2016,5385.412
Canada,CAN,2017,5488.334
Canada,CAN,2018,5567.372
Canada,CAN,2019,5640.969
Canada,CAN,2020,6208.613
Canada,CAN,2021,6532.472
Canada,CAN,2022,6139.721
Canada,CAN,2023,5981.05
Canada,CAN,2024,5946.07
Chile,CHL,2000,1045.985
Chile,CHL,2001,1074.699
Chile,CHL,2002,1114.511
Chile,CHL,2003,1174.018
Chile,CHL,2004,1246.553
Chile,CHL,2005,1284.287
Chile,CHL,2006,1338.225
Chile,CHL,2007,1430.583
Chile,CHL,2008,1460.335
Chile,CHL,2009,1701.046
Chile,CHL,2010,1615.202
Chile,CHL,2011,1688.033
Chile,CHL,2012,1793.612
Chile,CHL,2013,1936.624
Chile,CHL,2014,2041.482
Chile,CHL,2015,2181.035
Chile,CHL,2016,2269.366
Chile,CHL,2017,2462.771
Chile,CHL,2018,2526.753
Chile,CHL,2019,2536.159
Chile,CHL,2020,2488.957
Chile,CHL,2021,2865.452
Chile,CHL,2022,2943.784
Chile,CHL,2023,2964.418
Chile,CHL,2024,3199.197
China,CHN,2000,175.682
China,CHN,2001,178.12
China,CHN,2002,198.976
China,CHN,2003,219.404
China,CHN,2004,233.084
China,CHN,2005,252.455
China,CHN,2006,266.934
China,CHN,2007,282.201
China,CHN,2008,324.482
China,CHN,2009,393.29
China,CHN,2010,417.713
China,CHN,2011,467.801
China,CHN,2012,531.196
China,CHN,2013,589.069
China,CHN,2014,635.87
China,CHN,2015,698.837
China,CHN,2016,744.775
China,CHN,2017,804.146
China,CHN,2018,871.683
China,CHN,2019,960.935
China,CHN,2020,1030.111
China,CHN,2021,1058.264
China,CHN,2022,1086.188
Colombia,COL,2000,592.037
